Job title, Job description, Company, Primary Location, Required Skills
Senior Data Scientist, Work directly with our C-level team and our software developers to devise plans for turning maritime data (brought in through the Voyager platform and from outside sources) into valuable insights and recommendations for our clients; Source ~  ingest ~  clean ~  and store heterogeneous data sources; Perform preliminary descriptive analyses; Build predictive models; Oversee the deployment ~  monitoring ~  and maintenance of these predictive models on the Voyager platform; Interact cross-functionally ~  making business recommendations (e.g. ~  cost-benefit ~  forecasting ~  experiment analysis) with effective presentations of findings at multiple levels of stakeholders (internal and external) through visual displays of quantitative informatioN; Work with Voyager software team to integrate these models into the web-based portal, Voyager, Miami | FL, Strong Python software engineering skills ~  experience with deployment of machine learning models on AWS ~  familiarity with Jupyter notebooks ~  a strong grasp of statistics ~  and experience with supervised and unsupervised machine learning methods; Knowledge of the shipping industry or commodities ~  experience with ML DevOps tools ~  and experience with logistical optimization problems are a major pluses; English proficiency at least FLUENT level is a necessity.
Sr Data Scientist, Create and improve various forecasting models (audience ~  reach & frequency ~  inventory ~  demand ~  etc.); Create and improve various optimization schemes (proposals ~  cross screen planning ~  etc.); Collaborate with teams throughout Ampersand to help rationalize and optimize the business and identify opportunities for further growth; Evaluate internal and external data sets for model and process improvement Design experiments to test hypotheses ~  measure the results ~  and find ways to improve outcomes., Ampersand, New York | NY, Ability to communicate and collaborate with stakeholders across Ampersand and to present clear oral and written arguments; Degree in quantitative field like math ~  statistics ~  operations research ~  economics ~  or physics; Advanced degree or equivalent experience preferred 4+ years of experience as a data scientist; Advanced knowledge of one or more of these: Modern statistical methods Machine learning Bayesian methods (preferable) Fluency in Python or R Solid SQL abilities Experience using version control (git) ~  interactive computing ~  data visualization libraries ~  e.g. Jupyter ~  matplotlib ~  ggplot2
Sr Data Engineer, Design and build our data pipeline; Assemble ~  combine and transform large multiple complex data sets; Build analytics tools using the data pipeline to provide actionable insights to end users; Design ~  build ~  and maintain efficient ~  reusable ~  and reliable code; Identify bottlenecks and bugs ~  and devise solutions to mitigate and address these issues; Help maintain code quality ~  organization ~  and automatization., Ampersand, New York | NY, Experience building and optimizing ‘big data’ data pipelines ~  architectures ~  data sets and tools (Hadoop ~  Spark ~  Presto ~  etc.); Advanced SQL knowledge and experience working with relational databases; Strong knowledge and experience working with AWS eco-system; Skill for writing reusable code; Familiar with various design and architectural patterns; Knack for writing clean ~  readable ~  and easily maintainable code; Experience implementing automated testing platforms and unit tests; Proficient understanding of code versioning tools such as GIT ~  SVN ~  VSTS
Freelance Data Scientist for an Award-Winning Music Software Company, Examine the "Meta-Data" dataset with 3000 rows and 380 columns containing Floating-point values ~  for example: "ABC": 0.001 ~  0.001 ~  0.001 ~  0.9990 ~  ....; Look at the "Training" dataset where human trainers wrote that the combination of Row #2 from the "Meta-Data" dataset and the Row #2950 from the "Meta-Data" dataset have a lot in common ~  and human-labelled the combination a "5" on a 1 to 5 similarity scale. This is the value we're trying to predict. The size of the training data is small (low thousands) ~  but can be increased if needed; Use the Training dataset to train your own model that predicts the value on a scale of 1 to 5; Create a tool that can take any 2 random rows from the original Meta-Data dataset and predict their value when combined together; Run a simulation of performing the prediction 100 ~ 000 times and generate a histogram showing the distribution of 1 ~  2 ~  3 ~  4 ~  and 5 values. Show us how long it took you to run the 100 ~ 000 prediction simulation., Mixed In Key, Remote, Expert knowledge and hands-on past experience with Machine Learning ~  TensorFlow ~  Keras ~  Image Classification ~  SVMs ~  etc.
Data Ambassador (f/m), You are responsible for integrated analyses of big Data ~  and derive strategies based on that; You create presentations for artist meetings and inter-departmental meetings; You work closely with artist marketing ~  A&R ~  digital media as well as with artists and artist managements; You collaborate closely with the central Data Teams; Through Data analyses you support the strategy creation and the positioning of our artists; You adapt international Best Practice cases and implement them on the Austrian market; You create Dashboards and lead the formatting and visualization of data-related findings in presentations., Universal Music GmbH, Los Angeles | CA, Fully qualified in (Economic) Mathematics ~  Statistics ~  Computer Science or other studies related to quantitative methods; Experience in Data Management; Expert in Microsoft Office & SQL; Experience with Google’s BigQuery; Knowledge of analytic/statistic language (R ~  Python ~  etc.) are favourable; Strong analytical and strategic skills; Experience with Data Visualisation Tools like Tableau ~  Google Data Studio is an advantage; Strong presentation and communication skills; Digital Native; Strong interest in Music ~  Technologies and new trends.
Principal Computer Vision Engineer, Conduct applied research in computer vision and machine learning; Develop ~  enhance and support software/hardware platforms for automated image/video processing ~  exploitation and understanding; Interact with sponsors ~  customers and users to understand needs and requirements; Assist in preparation of proposal and reporting materials., Equinox Corporation, Baltimore | MD, Master’s degree in Computer Science ~  Electrical Engineering ~  or related field; Significant research experience in computer vision. Emphasis on object tracking and recognition preferred; Significant practical experience in machine learning using Python scientific computing and modern machine learning frameworks: numpy ~  scikit ~  scipy ~  Tensorflow ~  Keras ~  etc; Willingness to apply for a Department of Defense Secret Clearance. Requirements include US citizenship; Excellent ability to communicate complex technical concepts by spoken and written means.
Data Scientist, Performs hands-on data analysis and modeling with large data sets to develop insights into different aspects of customer acquisition campaigns and customer behavior; Connects ~  analyzes ~  and develops insights from disparate data points (for example ~  data points found inside of specific ad channels ~  Google or Heap Analytics ~  internal databases) in ways that grow our ability to acquire customers;Defines and builds tools and processes to monitor key metrics; Collaborate with other stakeholders to develop models of customer behavior; Work with Sales and Customer Acquisition teams to identify key opportunities for user engagement ~  conversions ~  and sales; Work with cross-functional teams to identify analytics opportunities ~  communicate data driven insights ~  turn insights into actionable business processes and product/service offerings ~  and ultimately ~  improve customer acquisition ~  retention ~  and loyalty; Uses data to identify opportunities to improve our customer acquisition campaigns performance; Works with the data and engineering teams to create customer behavior and acquisition data models; Utilizes R ~  Python ~  or equivalent technologies to perform complex statistical analyses on both internal and external data; Utilizes structured and unstructured data stored on platforms and types such as Redshift ~  AuroraDB ~  Data Lakes ~  DynamoDB to complete analyses and models; Other duties as assigned., HealthCare.com, New York | NY, Minimum of Master’s degree in analytics ~  data science ~  or related. PhD preferred; Experience in applied data science or related; Experience buying online media at scale (budgets of $5M+ per month) and/or experience working in organizations with e-commerce or marketplace business models; Track record of supporting the growth of online customer acquisition campaigns; Strong business acumen; Demonstrated history of delivering action-oriented insights to business leaders that led to significant growth; Ability to connect pieces of our business; Coding ability to build prototype data models; Proven experience working with large data sets and machine learning applications in production; Experience working with CI/CD pipelines and using them to put ML models in production.
Senior Data Scientist, Helping the machine learning engineers build models to identify fishing vessels from satellite and optical imagery -- experience with remote sensing ~  and especially synthetic aperture radar -- is helpful; Combining vessel detections from imagery with vessel GPS detections to identify vessels that are not broadcasting their locations - Developing models to estimate pollution from ocean going vessels ~  including noise pollution; Using vessel behavior to identify vessels that have an elevated risk of using forced labor or engaging in other illegal activity - Combining vessel tracking data with animal telemetry data (gps devices that have been attached to sharks and - tunas) to build models to identify the likely catch and bycatch of ocean going vessels; Collaborating with the GFW engineering team to automate models; Engaging with GFW Research Partners to develop these models and publish peer reviewed papers (the GFW Research Program has produced more than 20 academic papers ~  including many published at top journals); Write blogs and present public visualizations, Global Fishing Watch, Farmington | ME, Demonstrated skills with Python or R ~  with preference for Python; Strong SQL skills; Strong mathematical capabilities; Demonstrated abilities to understand and interpret large datasets ~  including strong statistical understanding.
Data Service Engineer and Systems Engineer, Manage ~  maintain and evolve the data access functions and software systems for operational satellite missions such as Meteosat and the EUMETSAT Polar System ~  including monitoring performances and resolving anomalies; Provide hands-on expertise and support to the operations teams responsible for the exploitation of mission-specific data access functions and software systems; Plan ~  implement and test mid-term evolutions of mission-specific data access functions and software systems in response to evolving context and requirements from the operations teams and end-users ~  based on innovative ~  synergistic and cost efficient solutions achieving high service levels; Lead the engineering for the mid-term evolutions of the mission-specific data access functions and software systems and their development and integration into/with multi-mission cloud-based data services; Ensure adherence to the EUMETSAT processes and standards for the development ~  test ~  deployment and maintenance of operational software systems; Support the procurement of industrial support and services required to perform the above tasks; Follow-up the software design ~  development and testing performed by external suppliers ~  including acceptance of deliveries ~  and manage all other technical aspects of contracts., EUMETSAT, Columbus | OH, Software Development or System Engineering Background; • Proven experience in the specification ~  development ~  verification ~  validation and maintenance of operational software systems and services ~  preferably for data access and distribution software systems; Applied knowledge of formal system & service development ~  verification and validation standards using C/C++ ~  java ~  scripting ~  web services in a Unix/Linux environment ~  based on recognised standards and best practices (e.g. ITIL); Experience of high availability (HA) design concepts and/or cloud technologies would be an advantage; Excellent organisational ~  communication and presentation skills ~  pro-active attitude; Ability to work autonomously with a minimum of supervision under high workloads.
Machine Learning Engineers, Expand the group’s efforts applying machine learning to drug discovery ~  biomolecular simulation ~  and biophysics., D. E. Shaw Research, New York | NY, Ideal candidates will have demonstrated expertise in developing deep learning techniques ~  as well as strong Python programming skills. Relevant areas of experience might include molecular dynamics ~  structural biology ~  medicinal chemistry ~  cheminformatics ~  and/or quantum chemistry ~  but specific knowledge of any of these areas is less critical than outstanding intellectual ability and a track record of achievement and innovation in the field of machine learning.
Data Science Manager (Sr.Data Scientist), Conducting transaction data analysis with Hadoop/Cloud and big data technologies for internal and external clients and stakeholders ~  and develop deeper insights into the products using advanced statistical methods; Finding opportunities to create and automate repeatable analyses or build streamlined solutions for internal and external Visa clients; Performing impact estimation of key strategic and marketing Visa activities using analytics techniques; Promoting usage of BI self-service tools in Moscow office; Creating user-friendly dashboards and presentations; Building predictive models using advanced machine learning techniques; interpret and present modeling and analytical results to non-technical audience; Collaborating with the Visa Consulting team and other requestors to fully understand business requirements and desired business outcomes; Defining detailed analytic scope and methodology ~  and creating analytic plan; Executing on the analytic plan with appropriate data mining and analytic techniques; Performing QA on data and deliverables by analysts and own deliverables; Ensuring all project documentation is up to date and all projects are reviewed per analytic plan; Ensuring project delivery within timelines; Building on team’s analytical skills and business knowledge; Enhancing existing analytic techniques by promoting new methodology and best practices in analytics field; Providing subject matter expertise and quality assurance of complex data driven analytic projects., Visa, Seattle | WA, Proficiency with modeling software; experience with Python ~  Hadoop ~  Hive ~  Impala or similar instruments; Practical experience in building and applying machine learning models (regression ~  clustering ~  classification: gradient boosting ~  random forests ~  linear models ~  deep learning etc.); Understanding in how do these algorithms work and end-to-end development skills from business understanding and data preparation to quality assurance of ML models; Minimum of 5 years of analytical expertise in applying statistical solutions to business problems (experience in payments and/or consumer banking and/or commercial banking and/or FMCG retail and/or consulting and/or heavy industry; Strong in defining and designing analytic approaches to business problems ~  strong in decomposing heavy business problems into structured and time predictable analytical tasks; Excellent communication skills in both spoken and written English.
Director ~  Data Science (Datalab), Lead strategic work-stream ~  aimed at enriching and monetizing our VisaNet and partner data by developing edge-cutting innovative solutions and testing multiple hypothesis; Manage projects from conception to completion with the help of junior team members; Lead tasks on R&D ~  data governance ~  system infrastructure ~  analytics tool evaluation; Help us staying at the forefront of technical advancement in data science and introducing cutting edge tools and techniques for generating business insights; Provide thought leadership in analytic techniques and business applications to unlock the value of Visa’s and client’s unique datasets; Continuously develop and present innovative ideas based on data driven approach in order to improve current business practices within Visa; Coach and educate other team members on data analysis techniques and Visa processes; Constantly improve Visa external image as data driven innovative by participation in and organization of external workshops and meet-ups; Vendor onboarding and resource management., Visa, Durham | NC, Minimum of 7 years of analytical expertise in applying statistical solutions to business problems (experience in payments and/or consumer banking and/or commercial banking is a must); Hands on experience with — Hive ~  SQL ~  Python ~  Hadoop ~  Spark; Practical experience in building and applying machine learning models (regression ~  clustering ~  classification: gradient boosting ~  random forests ~  linear models ~  deep learning etc.); Understanding in how do these algorithms work and end-to-end development skills from business understanding and data preparation to quality assurance of ML model; Strong presentation skills including verbal and graphical communication; ability to clearly communicate the meaning of analytical concepts ~  analyses and results; Demonstrated resource management and delivery skills ~  experience in team improvement ~  guidance and coaching junior team members; Strong in defining and designing analytic approaches to business problems; Excellent communication skills in both spoken and written English.
Data Scientist ~  Senior, Develop innovative ideas and methods for using analytics ~  machine learning ~  and AI for healthcare software and service solutions; Creating experimental frameworks for product development and machine learning with the aim to lay a strong data foundation for robust analytics; Research and develop statistical learning models and algorithms for data analysis; Collaborate with product management and development departments to understand company needs and devise possible solutions within our products; Implement new statistical or mathematical methodologies as needed for specific models or analysis; Optimize joint development efforts through appropriate database use and project design; Assess the effectiveness and accuracy of new data sources and data gathering techniques; Develop custom data models and algorithms to apply to data sets; Use predictive modeling to optimize user experiences ~  improve revenue generation ~  and improve patient outcomes., DSS ~  INC, North Palm Beach | FL, Minimum of 7 years of experience in a comparable position. Healthcare experience preferred. Strong problem-solving skills with an emphasis on product development; Experience using statistical computer languages (R ~  Python ~  SQL ~  Perl ~  etc.) to manipulate data and draw insights from large data sets; Experience working with and creating data architectures; Knowledge of a variety of machine learning techniques (clustering ~  decision tree learning ~  artificial neural networks ~  etc.) and their real-world advantages/drawbacks; Knowledge of advanced statistical techniques and concepts (regression ~  properties of distributions ~  statistical tests and proper usage ~  etc.) and experience with applications; Excellent written and verbal communication skills for coordinating across teams; A drive to learn and master new technologies and techniques; Experience with Business Intelligence Tools such as Power BI ~  Tableau or Sisense; Extensive background in database programming ~  data mining and statistical analysis. Able to understand various data structures and common methods in data transformation; Excellent pattern recognition and predictive modeling skills. Possess technical competencies including statistics and machine learning ~  coding languages ~  databases ~  and reporting technologies.
Copernicus Data Processing Operations Engineer, Coordinate and support operations of the Copernicus payload data processing and product extraction systems delivering Level 0 to Level 2 products ~  including backlog-processing ~  anomaly reporting and investigations of anomalies; Support the preparation and maintenance of the operational documentation (operations guides ~  operations interface control documents ~  operations procedures) for the Copernicus data processing systems; Contribute to the performance monitoring and analysis of Copernicus data processing services ~  including the development of tools for monitoring the quality of products and for the production of Key Performance Indicators; Support the medium- and long-term operations planning for Copernicus data processing and product extraction systems; Support training activities related to Copernicus data processing; Contribute to the further development of EUMETSAT Copernicus payload data processing systems including the definition of operational requirements ~  validation of upgrades ~  the assessment of deliveries ~  and contribute to verification activities; Support the operations preparations and commissioning activities for new Sentinel missions exploited by EUMETSAT (e.g. Sentinel 3-C/D ~  Sentinel-6B ~  CO2M)., EUMETSAT, San Francisco | CA, Proven experience in the operations of complex data processing and/or product processing systems ~  and experience of development ~  verification and validation of such systems; Significant experience in the real or near real-time acquisition and/or processing of data from space-borne imaging and/or sounding instruments; Ability to work effectively under pressure ~  and with a minimum of supervision; Strong communication ~  interpersonal and team working skills; Ability to write concise and focused technical reports; Very good analytical and problem-solving skills; Familiarity with UNIX / LINUX. Experience in the following areas would be an advantage: - Scripting languages (i.e. Python ~  bash ~  PERL). - C / C++ ~  Oracle; - Consultative Committee for Space Data Systems (CCSDS) formats; - Specification ~  development ~  and validation of algorithms for meteorological or other remote sensing missions; The holder of this post will support 24/7 operations and is therefore required to provide 24 hours a day on-call support including during weekends and public holidays on a regular basis.
Hosted Processing Services Coordinator, Specify and evolve a hosted processing service offering and coordinate management approval; Conceptually develop ~  with a wide network of partners ~  Collaborative Processing Environments in several fields of thematic application of Earth Observation data ~  Numerical Weather Prediction data ~  etc.; Coordinate and ~  with first- and second-level support resources ~  assist user on-boarding to the hosted processing in relevant cloud environments of EUMETSAT and partners; Coordinate the availability and provisioning of relevant input datasets on the systems identified in the use cases; Report on system performance ~  usage and the fulfilment of relevant SLA’s and KPI's., EUMETSAT, Remote, Experience in Meteorological e.g. Nowcasting / Oceanographic or related applications development; Proven experience as a stakeholder in a Data/IT-Applications/User environment; In-depth knowledge of Linux; Experience with cloud-computing; Ability to translate user requests into system requirements; Outstanding problem-solving skills.
Diagnostics Software Engineer, Develops new diagnostics from hardware specifications and modifies existing 32-bit operating system diagnostic software as directed using C ~  C++ and occasionally assembly programming languages; Develops manufacturing software and test software for production lines; Acts as an internal consultant for various cross functional teams (CFT) within Equinox ~  including technology and business groups and help them translate different product design needs to manufacturing software features; Develops QT/C++ based software tools in Linux platform that acts as shop floor control system; Designs visualization tools in QT for manufacturing database; Works very closely with database architect. Translate manufacturing needs to database requirements; Participates in DFM and DMR reviews and providing feedback to engineering ~  network ~  and manufacturing teams; Guides factories through new changes to the device software by creating and approving ECR and ECO in configuration management system; Provides build reports from the manufacturing database; Writes and uses unit test applications to validate newly developed code; Manage documentation like user guides ~  test instructions ~  and test specifications., Equinox, Scottsdale | AZ, Capable of following engineering policies; In-depth knowledge of Embedded Real Time Operating Systems (RTOS) programming in C/C++ languages; Low level asynchronous and synchronous serial communications protocols; Embedded tools such as JTAG / ICE debuggers as well as cross compiler suites; Linux / Embedded Linux; QT Cross Platform Suite; Bash Scripting; PostgreSQL.
Senior Jira Engineer, Delivering Atlassian expertise and skills; Partner closely with the Systems and Development teams to align on solution planning and project delivery ~  including managing project / program timelines ~  project scope., AmeriHome Mortgage, Westlake Village | CA, At least 5 years of professional experience in technical roles ~  with 2 years of experience administering at least one instance of JIRA; At least 50% of your work time spent administering or managing Atlassian applications for at least 2 years; We're looking for someone familiar with integrations with non-Atlassian tools such as (Power Scripts ~  Microsoft SQL Server ~  G Suite ~  Active Directory).
Software Project Manager, Manage project details ~  schedules ~  client communications ~  development tasks ~  and documentation for web based .Net applications; Assist in ongoing efforts to improve and streamline a quality focused software management process; Create technical design documents and other project documentation; Manage details for multiple long-term software projects; Contribute to the ongoing creation of a quality focused project management process; Manage tasks and sprints for a team of 5 developers., Efficiency Lab, Asheville | NC, Must have 3+ years experience managing software projects; Must be able to understand technical details related to engineering software applications; Must have experience managing software projects using an Agile methodology; Experience with engineering ~  manufacturing and scientific projects is desired; Experience with Atlassian project management tools is desired (Jira & Confluence).
Database Engineer, Relentless focus on system availability and performance ~  putting key monitoring and alerting systems in place and generating key learning from even the smallest of issues; Architect systems for high availability ~  with constant attention to Recovery Point and Recovery Time Objectives; Perform daily system monitoring for database integrity ~  scheduled jobs ~  backups ~  and system logs; Partner with developers to create efficient database designs (data types ~  stored procedures ~  views ~  functions); Create and execute a cloud migration strategy to move on-premises systems to the cloud; Continuously monitor infrastructure costs to optimize for spend; Adopt Continuous Integration and Delivery processes to automatically build ~  test ~  and deploy code; Create an environment where security is a top priority. In addition to responding to security audit findings ~  help the team “shift left” and integrate security earlier in the software development lifecycle; Key contributor to a technology roadmap; Provide mentoring and identify training opportunities to team members ~  staying current in the latest technologies and best practices., Signant Health, Blue Bell | PA, Expert in Microsoft SQL Server ~  with at least 5 years experience as a Database Engineer or DBA; Strong experience in high availability database design and architecture; Experience migrating to and managing cloud database technology (Azure SQL or Amazon RDS); Experience in a modern software development environment that is Agile and incorporates DevOps practices; Data Warehousing and Business Intelligence; Artificial Intelligence ~  Machine Learning ~  Data Mining; BI Tools like PowerBI ~  Tableau ~  Qlik; CI/CD processes and tools like Jenkins; Strong foundation in security ~  having executed security audits and remediating findings; BS degree in Computer Science or related discipline.
Jira and Confluence Expert, Driving your own projects ~  from design through planning to execution. Also work with teams across Amazon on cross-team initiatives; Planning and coordinating feature improvements and upgrades around services; Improving the user experience around services; Analyzing and improving availability ~  efficiency ~  capacity ~  scalability ~  security and performance of our services; Representing Systems Operations while working with internal teams and external partners; Troubleshooting and resolving problems with production systems as part of our on-call rotation; Developing and maintaining operations tools., Amazon.com Services LLC, Sunnyvale | CA, Master's degree; Excellent customer service ~  communication ~  documentation ~  work prioritization and analytical skills; Carving out requirements around ambiguous projects; Ability and willingness to go above and beyond one’s comfort zone when it comes to learning about other infrastructure services to help integrate and improve them; Tuning applications for performance; Energy and passion to invent and create new solutions ~  challenge the status quo and drive positive change.
Frontend Engineer, Work directly with product managers ~  designers and developers on features for the Trello web application; Proactively optimize client code to ensure stability and high performance; Iterate quickly based on user feedback., Atlassian, New York | NY, You could be working at any level of the stack ~  but you’re passionate about front-end development; You have in-depth experience with a framework like AngularJS ~  Backbone.js (our current framework) or React (what we’re moving to); You have enough back-end experience to jump over to the server to unblock yourself (we use node.js); You’re passionate about understanding user problems and working with a team to ship and iterate on great solutions; You strive to write code that lasts for years ~  not months; You have a diverse technical background. You’re a developer ~  not just a front-end developer; You know the difference between ECMAScript and JavaScript ~  and are proud (or slightly ashamed) of it; You can tweak CSS ~  but you prefer profiling ~  analyzing heap snapshots ~  and refactoring code into modular chunks; You have an excellent command of written and spoken English.
Field Application Engineer, Creation of the initial configuration of prototypes for Customer-specific projects; Composition of Quick Start Guides and Application Notes; Provide technical trainings and assistance to Customers and Sales Team; Deliver Design-In Support to Customers alongside with Product Management and Sales; Definition of cable assemblies incl. creation of cable drawings for off-site production; Assist Customers with After-Sales Support Configuration and assembly of Demo Units and Sample Kits for the Sales Team and Trade Shows., DATA MODUL, Hauppauge | NY, Minimum of 3 years of Engineering experience; Solid and fluent English language skills; Basic skills in Microsoft® Windows and Linux Operating Systems; Comfortable and efficient in the use of Microsoft® Office ~  i.e. Outlook ~  Word ~  Excel & PowerPoint.
IT Support Engineer, Provide ongoing support and education for our users: answer questions ~  diagnose and troubleshoot problems ~  and train our users; Be an IT ambassador and provide a best-in-class support experience; Maintain and support Zoom Rooms and A/V hardware; provide technical A/V support for events; Maintain IT asset management of our hardware and software; Onboard new employees and orient them with Flatiron's systems ~  applications ~  and IT policies; Update and add to help documentation for internal team use and employee use; Participate in our rotating on-call support schedule; Complete project-based work that contributes to our team's objectives., Flatiron Health, New York | NY, You have experience in an enterprise IT environment ~  supporting and administering SaaS applications. We use many ~  including GSuite ~  Zendesk ~  Egnyte ~  Jira and Confluence ~  and LastPass; You have used Bettercloud to automate simple SaaS administrative tasks; You have experience managing policies ~  packages ~  and OS deployment using JAMF and/or SCCM; Extensive Zoom Room configuration and maintenance experience; You understand network protocols and services (TCP ~  UDP ~  TCP/IP ~  DNS ~  DHCP) and can troubleshoot our employee's network issues; You are customer service driven and practice empathy while supporting employees; You don't follow the same recipe all the time and you challenge the status quo. You don't settle for the "have you restarted your computer" fix; you strive to understand the root cause of an issue; You build relationships and trust with your peers and our employees. You can work on projects with your team or cross-functionally ~  and you are not afraid to get your hands dirty; You have a growth mindset; you are curious and want to learn. You endeavor to be a mentor and help develop your peers.
Quality Assurance Engineer, Review testcases with the territory (US Market) expertise and be able to use your own initiative to add value to the current test pack for testing the applications to the core that are being built by off-shore team; Understand the proposition and use your expertise in coming up with ‘out of the box’ scenarios using the current territory (US Market) knowledge; Create and perform standard release regression test verification (per platform) to confirm successful code deployments and mobile store submissions; Be able to repeat the test packs manually across the whole suite of OTT devices in scope; Participate in daily scrum calls with remote teams to support issues’ triage process and understand prioritization of work assignments; Manage the creation ~  updates and status of issues detected during the test execution phase; Manage the retest ~  updates and status of issues reported by other project stakeholders; Report Test execution status to Test Managers ~  Project Managers and Release Managers to ensure that all project deliverables are appropriately verified and approved for both distribution for owner verification and for final code deployment/ submission; Cover both E2E & UAT Testing from a customer’s perspective., NBCUniversal, New York | NY, Minimum two (2) years’ Quality Assurance process and Quality Assurance management tool experience; Minimum five (5) years’ of website support and web applications experience; Minimum two (2) years’ in software test automation in a continuous integration and continuous deployment environment; Familiarity with agile development methodologies and full software development lifecycle ~  especially with web ~  mobile ~  connected device and OTT applications; Familiarity with current popular Connected Device/OTT (tvOS/Apple TV ~  Roku ~  Fire TV ~  Android TV ~  Xbox One ~  PS4 ~  etc.); Familiarity with applications supporting video/media playback; Experience with building test plans and coordinating QA/UAT with functional teams; Ability to adapt/adopt new technology and solutions easily; Good understanding of networking ~  SSL ~  firewalls ~  Akamai; Experience with Charles proxy ~  Splunk or similar logging tools; Experience with Jira ~  Slack ~  Confluence collaboration tools; Experience with TestRails ~  Quality Center or similar test case management tools; Hands on experience with set-top box automation such as Witbe or FalconEye.
